index,evidence,claim,evidence_type,topic_detail,topic_general,pair,source_name,source_logo,image
10,"A Republican factory worker said he voted for Donald Trump in the 2020 election, but would instead vote for Bernie Sanders in the next election",Working class Trump voters swap to Bernie!,Anecdotal,Bernie Sanders,Politics,2,Politics Today,11.png,https://images.pexels.com/photos/7103187/pexels-photo-7103187.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940
11,A large survey of working class Republican voters showed that 63 percent would instead vote for Bernie Sanders in the next election,Working class Trump voters swap to Bernie!,Not anecdotal,Bernie Sanders,Politics,2,Daily Analytics,12.png,https://images.pexels.com/photos/1550334/pexels-photo-1550334.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940
12,"Californian wife says her husband was banned from owning guns, but was still able to buy one. ",Gun purchase bans don't work. Most banned people can still buy guns!,Anecdotal,Gun ownership,Politics,1,American Politics Today,13.png,https://images.unsplash.com/photo-1595590424283-b8f17842773f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
13,A study shows 80 out of every hundred individuals who were banned from owning guns were still able to purchase them.,Gun purchase bans don't work. Most banned people can still buy guns.!,Not anecdotal,Gun ownership,Politics,1,Democracy Today,14.png,https://images.unsplash.com/photo-1594232352231-11a0958d131c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1500&q=80
14,Legal gun-owner with a military-grade collection shoots three people in a local bar.,See? Legal gun owners are even more likely to shoot people. ,Anecdotal,Gun ownership,Politics,2,USA Post,15.png,https://images.unsplash.com/photo-1609808425360-3ed1ca46d56d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1025&q=80
15,A nation-wide analysis of shooting incidents in the US shows that fatal homicides are four times more likely to be caused by legal gun owners than by ilegal gun owners. ,See? Legal gun owners are even more likely to shoot people. ,Not anecdotal,Gun ownership,Politics,2,America Wire,16.png,https://images.unsplash.com/photo-1639064565697-c44c8b0c17fe?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
16,College student said that vaping was her only successful strategy for quitting cigarettes.,Cigarettes Smokers! Vaping is the best way to quite cigarettes,Anecdotal,Vaping,Other,1,Healthcare Wire,17.png,https://images.unsplash.com/photo-1616093053570-0143f27b994d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
17,"A major public health study shows that In comparison to all other quitting methods, using vaping products led to the highest chance of successfully quitting cigarettes.",Cigarettes Smokers! Vaping is the best way to quite cigarettes,Not anecdotal,Vaping,Other,1,US Health News,18.png,https://images.unsplash.com/photo-1618588488403-b23a775c9a2c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
18,A student from a Chicago University says that they couldn't stop vaping only 4 days after first time trying it.,Vaping is really addictive. Most will get addicted to it within a week!,Anecdotal,Vaping,Other,2,Healthy Life News,19.png,https://cdn.pixabay.com/photo/2018/07/31/22/29/eliquid-3576069_960_720.jpg
19,A large survey of Chicago students who used vaping products reports that 80 percent became addicted to vapes within the first week of using them.,Vaping is really addictive. Most will get addicted to it within a week!,Not anecdotal,Vaping,Other,2,Politics of Health,20.png,https://cdn.pixabay.com/photo/2016/04/01/21/43/e-cigarette-1301670_960_720.jpg
20,A teacher invested 1000 dollars in cryptocurrencies two years ago. Now her crypto portfolio is worth more than 2500 dollars!,"Wow, most long-term investments in crypto gets you more than 100% returns! wish I'd invested in crypto a couple years ago! ",Anecdotal,Cryptocurrency,Other,1,Finance Post,21.png,https://images.unsplash.com/photo-1605792657660-596af9009e82?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1102&q=80
21,Report from Center for Advancement of Decentralized Technologies (CADT) shows that 79% individuals who made long-term investments in cryptocurrencies in the last two years have made a profit of over 100%.,"Wow, most long-term investments in crypto gets you more than 100% returns! wish I'd invested in crypto a couple years ago! ",Not anecdotal,Cryptocurrency,Other,1,Economy Tribune,22.png,https://images.unsplash.com/photo-1631603090989-93f9ef6f9d80?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1472&q=80
22,New Orleans teacher who invested her savings into cryptocurrencies lost more than half of her investment after just 1 month.,Crypto is risky! Most people who make short-term investments in Crypto lose a lot of money.,Anecdotal,Cryptocurrency,Other,2,Investment Wire,23.png,https://images.unsplash.com/photo-1622630998477-20aa696ecb05?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1546&q=80
23,Analysis by top business school shows that 75 percent of investors in crypto tokens lost most of their investments within a month.,Crypto is risky! Most people who make short-term investments in Crypto lose a lot of money.,Not anecdotal,Cryptocurrency,Other,2,Modern Finance News,24.png,https://images.unsplash.com/photo-1519995451813-39e29e054914?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
